#ZVView-data-copy:  13-Dec-2012 09:14:57
#=======================================
#
#name:   ENDF/B-VII.1: IR-193(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  11189
#data...
#            X            Y
#          MeV        barns
    8.68866e-6      75.8946
    8.70019e-6      80.2111
    8.70826e-6      83.5535
    8.71172e-6      84.9846
     8.7221e-6      89.7248
    8.73132e-6      94.3418
    8.74055e-6      99.3876
    8.74977e-6      104.917
      8.759e-6      110.994
    8.76822e-6      117.695
    8.77514e-6      123.256
    8.77744e-6      125.112
    8.78667e-6      133.356
    8.79474e-6      141.341
    8.79589e-6      142.591
    8.80166e-6       148.85
    8.80857e-6      157.043
    8.81549e-6      166.005
    8.81665e-6      167.644
    8.82241e-6      175.855
    8.82933e-6      186.698
    8.83221e-6      191.686
    8.83625e-6      198.685
    8.84317e-6      211.976
    8.84524e-6      216.356
    8.84858e-6      223.427
    8.85308e-6       233.82
    8.85446e-6      237.023
    8.86034e-6      251.993
    8.86092e-6      253.611
    8.86623e-6      268.525
    8.86876e-6      276.409
    8.87211e-6      286.819
     8.8743e-6      294.376
    8.87799e-6      307.123
    8.87983e-6      314.148
    8.88306e-6      326.463
    8.88536e-6      336.105
    8.88813e-6      347.696
     8.8909e-6      360.417
    8.89321e-6      371.037
    8.89551e-6      382.704
    8.89828e-6      396.729
    8.90012e-6      406.963
    8.90289e-6      422.341
    8.90474e-6      433.519
     8.9075e-6      450.317
    8.90935e-6      462.528
    8.91211e-6      480.879
    8.91396e-6      494.216
    8.91673e-6      514.261
    8.91857e-6      528.821
    8.92134e-6      550.704
    8.92318e-6      566.584
    8.92595e-6      590.454
     8.9278e-6      607.754
    8.93056e-6      633.751
    8.93125e-6      640.805
    8.93471e-6      676.131
    8.93517e-6      680.849
    8.93817e-6      714.065
    8.93979e-6       731.98
    8.94163e-6      754.103
     8.9444e-6      787.341
    8.94509e-6      796.295
    8.94855e-6      841.135
    8.94901e-6      847.124
    8.95201e-6      888.932
    8.95362e-6      911.481
    8.95547e-6      939.059
    8.95823e-6      980.492
    8.95893e-6      991.533
    8.96239e-6      1046.82
    8.96285e-6      1054.21
      8.967e-6      1124.74
    8.96746e-6       1132.6
    8.97161e-6      1208.18
    8.97438e-6      1258.67
    8.97622e-6      1294.75
    8.98083e-6      1385.12
    8.98129e-6      1394.17
    8.98544e-6      1480.31
    8.98821e-6      1537.84
    8.99006e-6      1578.11
    8.99467e-6      1678.93
    8.99974e-6      1790.02
    9.00159e-6      1830.98
    9.00989e-6      2015.65
    9.01358e-6      2097.85
     9.0228e-6      2293.29
    9.02557e-6      2347.25
    9.02961e-6      2425.91
    9.03618e-6      2540.83
    9.03664e-6      2547.76
    9.04275e-6      2639.32
    9.04402e-6      2654.57
    9.04955e-6      2720.88
    9.05001e-6      2725.11
    9.05416e-6      2762.93
    9.05693e-6      2781.42
    9.05878e-6       2793.6
    9.06339e-6      2812.39
    9.06385e-6      2813.13
    9.06763e-6      2818.86
    9.06883e-6      2817.58
    9.07252e-6      2813.38
    9.07513e-6       2802.6
    9.07838e-6      2788.87
    9.08057e-6       2772.5
     9.0846e-6      2742.01
    9.08645e-6      2722.61
    9.09014e-6      2683.47
    9.09291e-6      2647.08
    9.09567e-6      2610.44
    9.09936e-6      2552.35
    9.10259e-6      2501.23
    9.10628e-6      2434.33
    9.10951e-6      2375.52
     9.1132e-6      2301.09
    9.11873e-6      2189.04
    9.12012e-6         2159
    9.12703e-6       2008.4
    9.13626e-6      1807.12
     9.1441e-6      1635.69
    9.15332e-6      1443.08
    9.15471e-6       1415.9
    9.16024e-6      1307.22
    9.16716e-6      1180.25
    9.16854e-6      1156.47
    9.17177e-6      1101.07
    9.17638e-6      1026.38
    9.17777e-6      1005.33
    9.18099e-6      956.305
    9.18561e-6      890.759
    9.18699e-6      872.418
    9.19022e-6       829.74
    9.19483e-6      773.056
    9.19621e-6      757.287
    9.19944e-6      720.612
    9.20405e-6      672.147
    9.20544e-6      658.721
    9.20867e-6      627.513
    9.21328e-6      586.415
    9.21466e-6      575.061
    9.21789e-6      548.681
     9.2225e-6      514.013
    9.22389e-6      504.449
    9.22711e-6      482.233
    9.23173e-6       453.06
    9.23311e-6      445.013
    9.23634e-6      426.326
    9.24095e-6      401.776
    9.24233e-6      395.053
    9.24649e-6      374.977
     9.2504e-6      357.693
    9.25133e-6      353.646
    9.25617e-6      334.134
    9.26078e-6      317.045
    9.26101e-6      316.195
    9.26585e-6      299.764
    9.27116e-6      283.271
     9.2715e-6      282.201
    9.27635e-6      268.454
    9.28107e-6       256.03
    9.28119e-6      255.729
    9.28845e-6      238.448
    9.29399e-6       226.64
    9.29572e-6      222.975
    9.30298e-6      209.119
     9.3069e-6      202.342
    9.30984e-6      197.293
     9.3159e-6      187.767
    9.31982e-6      182.137
    9.32397e-6      176.223
    9.33204e-6       165.83
     9.3378e-6      159.095
    9.34011e-6      156.424
    9.34818e-6      147.914
     9.3551e-6      141.249
    9.35625e-6      140.147
    9.36432e-6       133.08
    9.37239e-6      126.585
    9.37239e-6      126.585
    9.38162e-6      119.844
    9.39084e-6      113.684
    9.39545e-6      110.859
    9.40006e-6      108.063
    9.40929e-6      102.924
    9.41851e-6      98.1855
    9.42774e-6      93.8501
    9.43696e-6      89.8339
    9.44157e-6      87.9689
    9.44618e-6      86.1262
    9.45771e-6      81.8785
    9.46924e-6      77.9852
    9.47616e-6      75.8371
    9.48077e-6      74.4252
     9.4923e-6      71.1731
    9.50383e-6      68.1683
    9.51075e-6      66.4979
    9.51536e-6      65.3991
    9.52689e-6      62.8498
    9.53842e-6      60.4785
    9.54304e-6      59.6029
    9.55341e-6      57.6629
     9.5684e-6      55.0983
    9.58339e-6       52.743
    9.59146e-6      51.5743
    9.59838e-6      50.5904
    9.61337e-6      48.6228
    9.62836e-6      46.8013
    9.63989e-6      45.5007
    9.64335e-6      45.1173
    9.65834e-6      43.5733
    9.67537e-6      41.9465
    9.69089e-6      40.5751
     9.6924e-6      40.4437
    9.70943e-6       39.073
    9.72647e-6      37.7994
    9.74189e-6      36.7433
    9.75202e-6      36.0631
    9.77756e-6      34.5149
    9.80323e-6      33.1048
    9.81037e-6      32.7481
    9.82914e-6      31.8307
    9.85505e-6      30.6765
    9.87933e-6      29.6864
    9.88096e-6      29.6214
    9.90687e-6      28.6768
    9.93278e-6      27.8074
    9.95906e-6      26.9936
    9.98374e-6      26.2859
    9.98533e-6      26.2416
    1.00028e-5      25.7829
    1.00379e-5      24.9305
    1.00537e-5      24.5806
    1.00729e-5      24.1668
    1.01084e-5      23.4701
     1.0144e-5      22.8326
    1.01795e-5      22.2465
    1.01955e-5      22.0028
     1.0215e-5      21.7177
    1.02511e-5      21.2322
    1.02871e-5       20.783
    1.03231e-5       20.366
    1.03394e-5      20.1907
    1.03591e-5      19.9871
    1.03957e-5      19.6365
    1.04322e-5      19.3091
     1.0487e-5      18.8561
    1.05423e-5      18.4396
    1.05592e-5      18.3235
    1.05979e-5      18.0716
    1.06535e-5      17.7407
    1.07099e-5      17.4319
    1.07662e-5      17.1468
    1.07832e-5      17.0672
    1.08229e-5      16.8924
      1.088e-5      16.6589
    1.09372e-5      16.4417
    1.09949e-5      16.2371
    1.10722e-5      15.9829
    1.10896e-5        15.93
      1.115e-5      15.7609
    1.12284e-5       15.559
    1.13073e-5      15.3712
    1.13868e-5      15.1952
    1.14668e-5      15.0293
    1.14851e-5      14.9937
    1.15474e-5      14.8839
    1.16286e-5        14.75
    1.17103e-5      14.6234
    1.17927e-5      14.5033
     1.1917e-5       14.334
    1.20431e-5      14.1751
     1.2062e-5      14.1528
    1.21704e-5        14.04
    1.22988e-5      13.9156
    1.24285e-5      13.7982
      1.256e-5      13.6864
    1.26928e-5      13.5798
    1.28268e-5      13.4778
    1.28473e-5       13.463
     1.2962e-5      13.3904
    1.31449e-5      13.2813
    1.33303e-5      13.1771
    1.35184e-5      13.0774
    1.37091e-5      12.9813
    1.39025e-5      12.8884
    1.40717e-5      12.8106
    1.40987e-5      12.7995
    1.42976e-5       12.722
    1.44993e-5      12.6462
    1.48076e-5      12.5357
    1.51217e-5      12.4291
    1.54432e-5      12.3253
    1.57708e-5      12.2244
    1.61061e-5      12.1263
    1.63254e-5      12.0637
    1.66725e-5      11.9694
    1.70262e-5      11.8777
    1.73882e-5      11.7891
     1.7757e-5      11.7047
    1.80075e-5      11.6509
    1.81078e-5      11.6307
    1.82616e-5      11.5918
    1.85192e-5      11.5307
    1.87805e-5      11.4729
    1.90455e-5      11.4189
    1.93142e-5      11.3707
    1.94217e-5       11.354
    1.95185e-5      11.3321
    1.97248e-5      11.2904
     1.9933e-5       11.254
    2.01432e-5      11.2242
    2.02553e-5      11.2126
    2.03563e-5      11.1932
    2.04994e-5      11.1711
    2.06435e-5      11.1543
    2.07886e-5      11.1434
    2.09348e-5      11.1394
    2.09778e-5      11.1406
    2.10819e-5      11.1329
    2.12301e-5      11.1316
    2.13794e-5      11.1418
    2.14228e-5      11.1483
    2.14921e-5      11.1504
    2.16048e-5      11.1629
    2.17191e-5      11.1861
    2.18334e-5      11.2214
    2.18783e-5       11.241
    2.19482e-5      11.2618
    2.20641e-5      11.3134
    2.21414e-5       11.359
     2.2187e-5      11.3918
    2.22187e-5      11.4098
    2.22971e-5      11.4658
    2.23754e-5      11.5349
    2.24538e-5      11.6196
       2.25e-5        11.68
    2.25322e-5      11.7163
    2.26116e-5      11.8267
    2.26911e-5      11.9614
    2.27375e-5      12.0545
    2.27507e-5      12.0782
    2.28103e-5      12.2035
    2.28702e-5      12.3502
    2.29306e-5      12.5223
    2.29773e-5      12.6766
    2.29911e-5      12.7193
    2.30515e-5      12.9381
     2.3112e-5      13.1945
    2.31393e-5      13.3305
    2.31724e-5      13.4876
    2.32127e-5       13.707
     2.3253e-5      13.9522
    2.32932e-5      14.2262
    2.33014e-5      14.2886
    2.33335e-5      14.5238
    2.33738e-5      14.8564
     2.3414e-5      15.2316
    2.34543e-5      15.6559
    2.34834e-5       16.004
    2.34946e-5      16.1339
